pfam_id	pfam_name	interpro_id	interpro_name	official_entry_url	official_source_status	failed_accession_count	failed_accessions	fragment_count	contacting_fragment_count	legacy_family_tokens	canonical_same_gene_examples	canonical_same_gene_pfam_context	modcre_interval_context	proposed_domain_role	proposed_is_expected_TF_DBD	is_expected_TF_DBD	evidence_summary	evidence_sources	confidence	review_status	reviewer	review_date	manual_review_notes
PF00023	Ankyrin repeat	IPR002110	Ankyrin repeat	https://www.ebi.ac.uk/interpro/entry/pfam/PF00023/	RETRIEVED	1	O14593	1	0	Ank;Ank_2;Ank_3;Ank_4;Ank_5				NON_DBD_PROTEIN_INTERACTION	NO	NO	Ankyrin repeats are protein-binding adaptor repeats. Fragment contacts: 0/1; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF00023/;data_sources/tf_family_tree.json;tf.family_text;tf_family	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF00104	Ligand-binding domain of nuclear hormone receptor	IPR000536	Nuclear hormone receptor, ligand-binding domain	https://www.ebi.ac.uk/interpro/entry/pfam/PF00104/	RETRIEVED	3	B4E374;H0YGT3;O75780	3	0	Hormone_recep	P11474	"{""P11474"":[""PF00105:78-146:Double treble clef zinc finger, C4 type"",""PF00104:226-394:Ligand-binding domain of nuclear hormone receptor""]}"	"{""P11474"":{""best_model_domains"":[""73:170""],""best_templates"":[""1lo1""],""interface_audit_results_secondary_only"":[],""interval_count"":13,""interval_examples"":[""73:155"",""73:162"",""75:144"",""76:155"",""76:156"",""76:418"",""77:145"",""77:146""]}}"	NON_DBD_LIGAND_BINDING	NO	NO	The official entry identifies this as the hormone-binding domain; the canonical receptor has a separate C4 zinc-finger DBD. Fragment contacts: 0/3; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF00104/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF00651	BTB/POZ domain	IPR000210	BTB/POZ domain	https://www.ebi.ac.uk/interpro/entry/pfam/PF00651/	RETRIEVED	4	A0A8Q3WLX6;A0A8V8TM03;A2AB93;G3V447	4	0	BTB;CYTH;HOK_GEF	O15209;Q99592	"{""O15209"":[""PF00651:47-149:BTB/POZ domain"",""PF00096:513-535:Zinc finger, C2H2 type""],""Q99592"":[""PF00651:14-120:BTB/POZ domain"",""PF00096:370-392:Zinc finger, C2H2 type"",""PF13894:411-432:C2H2-type zinc finger"",""PF00096:438-460:Zinc finger, C2H2 type"",""PF00096:466-489:Zinc finger, C2H2 type""]}"	"{""O15209"":{""best_model_domains"":[""479:568""],""best_templates"":[""1a1g""],""interface_audit_results_secondary_only"":[""PASS_NONEMPTY_PROTEIN_DNA_INTERFACE""],""interval_count"":1,""interval_examples"":[""490:559""]},""Q99592"":{""best_model_domains"":[""409:493""],""best_templates"":[""2i13""],""interface_audit_results_secondary_only"":[""PASS_NONEMPTY_PROTEIN_DNA_INTERFACE""],""interval_count"":2,""interval_examples"":[""409:485"",""412:486""]}}"	NON_DBD_PROTEIN_INTERACTION	NO	NO	BTB/POZ mediates homo-/heterodimerisation and corepressor interactions; canonical examples carry separate zinc-finger DBDs. Fragment contacts: 0/4; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF00651/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF01017	STAT transcription factor, coiled-coil domain	IPR013800	STAT transcription factor, all-alpha domain	https://www.ebi.ac.uk/interpro/entry/pfam/PF01017/	RETRIEVED	5	A0A494C0B5;A0A494C1L3;A0A8V8TLI6;B4DHE0;D2KFR9	5	3	AATF-Che1;ACP53EA;CorA;DUF342;LXG;STAT_alpha;STAT_int;Sfi1_C	P42224;P52630	"{""P42224"":[""PF02865:2-119:STAT protein, protein interaction domain"",""PF01017:144-308:STAT transcription factor, coiled-coil domain"",""PF02864:322-458:STAT protein, DNA binding domain"",""PF21354:481-558:Signal transducer and activator of transcription, linker domain"",""PF00017:578-622:SH2 domain"",""PF12162:715-738:STAT1 TAZ2 binding domain""],""P52630"":[""PF02865:2-122:STAT protein, protein interaction domain"",""PF01017:146-308:STAT transcription factor, coiled-coil domain"",""PF02864:321-456:STAT protein, DNA binding domain"",""PF21354:482-557:Signal transducer and activator of transcription, linker domain"",""PF00017:578-648:SH2 domain"",""PF12188:783-838:Signal transducer and activator of transcription 2 C terminal""]}"	"{""P42224"":{""best_model_domains"":[""136:710""],""best_templates"":[""1bf5""],""interface_audit_results_secondary_only"":[],""interval_count"":2,""interval_examples"":[""136:710"",""230:650""]},""P52630"":{""best_model_domains"":[""141:691""],""best_templates"":[""1bf5""],""interface_audit_results_secondary_only"":[""PASS_NONEMPTY_PROTEIN_DNA_INTERFACE""],""interval_count"":4,""interval_examples"":[""141:678"",""419:691"",""420:691"",""424:691""]}}"	NON_DBD_PROTEIN_INTERACTION	NO	NO	The official entry identifies the STAT coiled-coil domain as a protein-interaction region, distinct from PF02864, the STAT DBD. Fragment contacts: 3/5; treated as secondary evidence only.	https://www.ebi.ac.uk/interpro/entry/pfam/PF01017/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF02198	Sterile alpha motif (SAM)/Pointed domain	IPR003118	Pointed domain	https://www.ebi.ac.uk/interpro/entry/pfam/PF02198/	RETRIEVED	8	A0A0A7M2K0;B4DW78;E9PN75;E9PPS9;E9PQR6;E9PQX0;H0YG25;H2BNB9	8	1	GluR_Homer-bdg;SAM_1;SAM_PNT;Ste50p-SAM	P41212;Q9NZC4	"{""P41212"":[""PF02198:40-123:Sterile alpha motif (SAM)/Pointed domain"",""PF00178:341-420:Ets-domain""],""Q9NZC4"":[""PF02198:36-114:Sterile alpha motif (SAM)/Pointed domain"",""PF00178:207-288:Ets-domain""]}"	"{""P41212"":{""best_model_domains"":[""339:434""],""best_templates"":[""4mhg""],""interface_audit_results_secondary_only"":[],""interval_count"":6,""interval_examples"":[""339:428"",""341:419"",""341:420"",""341:424"",""341:428"",""341:434""]},""Q9NZC4"":{""best_model_domains"":[""206:299""],""best_templates"":[""3jtg""],""interface_audit_results_secondary_only"":[""PASS_NONEMPTY_PROTEIN_DNA_INTERFACE""],""interval_count"":4,""interval_examples"":[""206:299"",""208:288"",""209:288"",""209:290""]}}"	NON_DBD_PROTEIN_INTERACTION	NO	NO	The integrated Pointed-domain entry assigns protein-protein association; canonical ETS proteins carry a separate PF00178 ETS DBD. Fragment contacts: 1/8; treated as secondary evidence only.	https://www.ebi.ac.uk/interpro/entry/pfam/PF02198/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF02312	Core binding factor beta subunit	IPR003417	Core-binding factor, beta subunit	https://www.ebi.ac.uk/interpro/entry/pfam/PF02312/	RETRIEVED	1	Q13951	1	0					COFACTOR_OR_COMPLEX_COMPONENT	NO	NO	This is the beta subunit of core-binding factor and enhances DNA binding by the alpha subunit rather than serving as its DBD. Fragment contacts: 0/1; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF02312/	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF02865	STAT protein, protein interaction domain	IPR013799	STAT transcription factor, protein interaction	https://www.ebi.ac.uk/interpro/entry/pfam/PF02865/	RETRIEVED	5	A0A494C0B5;A0A494C1L3;A0A8V8TLI6;B4DHE0;D2KFR9	5	0	AATF-Che1;ACP53EA;CorA;DUF342;LXG;STAT_alpha;STAT_int;Sfi1_C	P42224;P52630	"{""P42224"":[""PF02865:2-119:STAT protein, protein interaction domain"",""PF01017:144-308:STAT transcription factor, coiled-coil domain"",""PF02864:322-458:STAT protein, DNA binding domain"",""PF21354:481-558:Signal transducer and activator of transcription, linker domain"",""PF00017:578-622:SH2 domain"",""PF12162:715-738:STAT1 TAZ2 binding domain""],""P52630"":[""PF02865:2-122:STAT protein, protein interaction domain"",""PF01017:146-308:STAT transcription factor, coiled-coil domain"",""PF02864:321-456:STAT protein, DNA binding domain"",""PF21354:482-557:Signal transducer and activator of transcription, linker domain"",""PF00017:578-648:SH2 domain"",""PF12188:783-838:Signal transducer and activator of transcription 2 C terminal""]}"	"{""P42224"":{""best_model_domains"":[""136:710""],""best_templates"":[""1bf5""],""interface_audit_results_secondary_only"":[],""interval_count"":2,""interval_examples"":[""136:710"",""230:650""]},""P52630"":{""best_model_domains"":[""141:691""],""best_templates"":[""1bf5""],""interface_audit_results_secondary_only"":[""PASS_NONEMPTY_PROTEIN_DNA_INTERFACE""],""interval_count"":4,""interval_examples"":[""141:678"",""419:691"",""420:691"",""424:691""]}}"	NON_DBD_PROTEIN_INTERACTION	NO	NO	The official name and canonical STAT architecture identify a protein-interaction domain separate from PF02864, the STAT DBD. Fragment contacts: 0/5; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF02865/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF03299	Transcription factor AP-2	IPR013854	Transcription factor AP-2, C-terminal	https://www.ebi.ac.uk/interpro/entry/pfam/PF03299/	RETRIEVED	1	H7C4N4	1	1	TF_AP-2	P05549	"{""P05549"":[""PF03299:211-405:Transcription factor AP-2""]}"	"{""P05549"":{""best_model_domains"":[],""best_templates"":[],""interface_audit_results_secondary_only"":[],""interval_count"":0,""interval_examples"":[]}}"	TF_DNA_BINDING_DOMAIN	YES	YES	The integrated AP-2 C-terminal entry explicitly includes the helix-span-helix region that mediates site-specific DNA binding and dimerisation. Fragment contacts: 1/1; treated as secondary evidence only.	https://www.ebi.ac.uk/interpro/entry/pfam/PF03299/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF04589	RFX1 transcription activation region	IPR007668	RFX1 transcription activation region	https://www.ebi.ac.uk/interpro/entry/pfam/PF04589/	RETRIEVED	1	B7Z8F5	1	0	RFX1_trans_act				NON_DBD_TRANSCRIPTIONAL_REGULATORY	NO	NO	The official entry identifies an RFX transcription-activation region N-terminal to the separate PF02257 RFX DBD. Fragment contacts: 0/1; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF04589/;data_sources/tf_family_tree.json;tf.family_text;tf_family	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF04704	Zfx/Zfy transcription activation region	IPR006794	Transcriptional activator, Zfx/Zfy domain	https://www.ebi.ac.uk/interpro/entry/pfam/PF04704/	RETRIEVED	8	C9J682;Q59EB9;Q8NHZ2;Q8NHZ3;Q8NHZ4;Q8NHZ5;Q8WXB8;Q8WXB9	8	0	Adhes-Ig_like;CHAP;Zfx_Zfy_act	P17010	"{""P17010"":[""PF04704:70-410:Zfx/Zfy transcription activation region"",""PF00096:425-447:Zinc finger, C2H2 type"",""PF00096:489-510:Zinc finger, C2H2 type"",""PF00096:548-570:Zinc finger, C2H2 type"",""PF13909:576-601:C2H2-type zinc-finger domain"",""PF00096:662-684:Zinc finger, C2H2 type"",""PF00096:719-741:Zinc finger, C2H2 type""]}"	"{""P17010"":{""best_model_domains"":[""493:801""],""best_templates"":[""5wjq""],""interface_audit_results_secondary_only"":[],""interval_count"":6,""interval_examples"":[""514:798"",""519:681"",""519:684"",""542:684"",""547:697"",""547:801""]}}"	NON_DBD_TRANSCRIPTIONAL_REGULATORY	NO	NO	The official entry reports transcriptional activation when fused to a DBD; canonical proteins contain separate C2H2 zinc-finger DBDs. Fragment contacts: 0/8; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF04704/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
