TF_name	TF_family	Identical_PWM	Homologous_PWM	Relatively_Homologous_PWM	ModCRE	AlphaFold	Best_annotation_level	Best_PWM_or_model	N_nonempty_annotation_columns
A0A024R0Y4	zf-C2H2_4,RPA_C,ZZ,Myb_DNA-bind_6,SWIRM,Myb_DNA-binding				TFS_tr_A0A024R0Y4_A0A024R0Y4_HUMAN:75:117_1h8a_C_1.meme;TFS_tr_A0A024R0Y4_A0A024R0Y4_HUMAN:211:243_6r2v_A_1.meme;TFS_tr_A0A024R0Y4_A0A024R0Y4_HUMAN:75:116_1h88_C_1.meme		ModCRE	TFS_tr_A0A024R0Y4_A0A024R0Y4_HUMAN:75:117_1h8a_C_1.meme;TFS_tr_A0A024R0Y4_A0A024R0Y4_HUMAN:211:243_6r2v_A_1.meme;TFS_tr_A0A024R0Y4_A0A024R0Y4_HUMAN:75:116_1h88_C_1.meme	1
A0A024R274	IRF-3,MH2,MH1	MA0513.1					Identical_PWM	MA0513.1	1
A0A024R2I8	Hormone_recep,zf-C4	MA1574.1					Identical_PWM	MA1574.1	1
A0A024R3C6	zf-C2H2_4,zf-C2H2,Endonuclease_7,Prok-RING_1,zf-C2H2_jaz,zf-met,zf-H2C2_2,DZR,BTB,zf-C2H2_2,zf-C2HC_2,zf-C2H2_6,GATA			M00143_2.00 (54.8%);M00939_2.00 (50.5%);M00944_2.00 (50.5%);M09008_2.00 (50.8%);MA0493.1 (50.8%);MA0753.1 (54.8%);MA1515.1 (50.0%);MA1580.1 (68.3%)			Relatively_Homologous_PWM	M00143_2.00 (54.8%);M00939_2.00 (50.5%);M00944_2.00 (50.5%);M09008_2.00 (50.8%);MA0493.1 (50.8%);MA0753.1 (54.8%);MA1515.1 (50.0%);MA1580.1 (68.3%)	1
A0A024R531	Pax2_C,HTH_Tnp_IS1,HTH_29,Ribosomal_S13_N,HTH_32,HTH_23,PAX	M05685_2.00					Identical_PWM	M05685_2.00	1
A0A024R8F3	zf-C2H2_4,zf-C2H2,Rpr2,zf-CHCC,FYVE,Prok-RING_1,zf-BED,zf-C2H2_jaz,zf-CHY,zf-AN1,zf-met,zf-H2C2_2,CxxC_CxxC_SSSS,zf-C2H2_2,GAGA,C1_1,zf-C2H2_6		M04524_2.00 (93.7%);M08977_2.00 (82.6%);MA0038.1 (78.5%);MA0038.2 (78.5%);MA0483.1 (79.8%)				Homologous_PWM	M04524_2.00 (93.7%);M08977_2.00 (82.6%);MA0038.1 (78.5%);MA0038.2 (78.5%);MA0483.1 (79.8%)	1
A0A024RCR3	CENP-B_N,HTH_3,UCH,Homez,HTH_26,Homeobox,HTH_19,PBC,Homeobox_KN	MA1113.1					Identical_PWM	MA1113.1	1
A0A068JFF8			MA0468.1 (97.5%)				Homologous_PWM	MA0468.1 (97.5%)	1
A0A068L529	LisH,Hormone_recep,zf-C4	MA0159.1					Identical_PWM	MA0159.1	1
A0A075B7G3	zf-C2H2_4,zf-C2H2,Zn_ribbon_recom,Prok-RING_2,C1_3,zf-C2H2_jaz,Ogr_Delta,YhfH,XPA_N,zf-H2C2_2,GAGA,C1_4,TFIIS_C,zf-AN1,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-UBR,DUF2321,zf-C2H2_6,Desulfoferrod_N,C1_2,Prok-RING_1,zf-HIT,ADK_lid,LIM,DNA_RNApol_7kD,zf-trcl,DUF1610,CxxC_CxxC_SSSS,DUF164,FYDLN_acid,Ribosomal_L44		M07687_2.00 (70.9%)				Homologous_PWM	M07687_2.00 (70.9%)	1
