tf_id	accession	gene	protein_name	PWM_annotation	PWM_count	PWM_source_or_provenance	reviewed_status	sequence_length	canonical_accession	expected_DBD	previous_pfam_status	current_sqlite_pfam_status	DBD_coverage_percent	DBD_identity_percent	failed_coordinates_corresponding_to_DBD	final_DBD_interpretation	evidence_interpretation	remaining_uncertainty
A0A0U4U3E8	A0A0U4U3E8	SOX9	SRY (Sex determining region Y)-box9	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	159	P48436	PF00505:105-173:HMG (high mobility group) box	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	0.00	0.00		PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=0.00%, identity=0.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
A0A2R8Y7P3	A0A2R8Y7P3	SOX5	SRY-box transcription factor 5	Homologous_PWM	3	cisbp:homologous:2;jaspar:relative_homologous:1	UNREVIEWED	107	P35711	PF00505:556-624:HMG (high mobility group) box	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	7.25	100.00	99-103	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=7.25%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
A0A6Q8PFH6	A0A6Q8PFH6	ATF4	Cyclic AMP-dependent transcription factor ATF-4	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	126	P18848	PF00170:276-337:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	1.61	100.00	126-126	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=1.61%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
A0A6Q8PGY1	A0A6Q8PGY1	ATF4	Cyclic AMP-dependent transcription factor ATF-4	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	189	P18848	PF00170:276-337:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	1.61	100.00	189-189	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=1.61%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
A0A6Q8PHB3	A0A6Q8PHB3	ATF4	Cyclic AMP-dependent transcription factor ATF-4	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	121	P18848	PF00170:276-337:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	6.45	100.00	118-121	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=6.45%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
A0A7P0T8Y1	A0A7P0T8Y1	ATF6	Activating transcription factor 6	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	150	A0A7P0TAH1	PF00170:307-366:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	3.33	100.00	127-128	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=3.33%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
A0A7P0T992	A0A7P0T992	ATF6	Activating transcription factor 6	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	286	A0A7P0TAH1	PF00170:307-366:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	10.00	83.33	231-236	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=10.00%, identity=83.33%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
A0A7P0TAB8	A0A7P0TAB8	ATF6	Activating transcription factor 6	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	89	A0A7P0TAH1	PF00170:307-366:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	1.67	100.00	75-75	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=1.67%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
A0A994J4I4	A0A994J4I4	SOX5	SRY-box transcription factor 5	Identical_PWM	1	cisbp:identical:1	UNREVIEWED	229	P35711	PF00505:556-624:HMG (high mobility group) box	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	4.35	100.00	224-226	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=4.35%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
A0A994J7B2	A0A994J7B2	TCF3	Transcription factor 3	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	132	P15923	PF00010:Helix-loop-helix DNA-binding domain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	41.51	45.45	99-120	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=41.51%, identity=45.45%. DBD coverage is at most 10%; at least 40 non-DBD residues align at at least 80% identity.	
