area	pi_request	current_behavior	evidence_file_or_table	safe_ui_only_change	requires_db_change	recommended_action	status
active_database	Identify active SQLite database	Configured default is /home/patricia/tf_webdb/data/tf_webdb.sqlite; exists; integrity_check=ok; no running server was found to confirm a --db runtime override	app.py:34; app.py:2896-2910; data/tf_webdb.sqlite	No	No	Treat this as the local configured DB and verify the deployment command before a production change	WARNING
database_schema	Audit relevant schema	Tables are tf, tf_annotation, tf_family, motif_file, motif_ref, motif_structure, structure_file, model_summary, source, source_release, metadata, import_issue, sqlite_sequence; tf_primary_annotation is absent	data/tf_webdb.sqlite sqlite_master	No	No	Use the schema summary in the Markdown audit as baseline	PASS
pfam	Check for dedicated PFAM table	No PFAM table exists	data/tf_webdb.sqlite sqlite_master	No	Yes	Add an explicitly sourced PFAM assignment relation only after approved source/provenance is available	FAIL
pfam	Check for PFAM accession IDs	No PFAM/interpro column and zero PFxxxxx-like family values	data/tf_webdb.sqlite tf_family	No	Yes	Do not claim PFAM accessions or support PFAM-ID search	FAIL
pfam	Check for PFAM names	Family labels include PFAM-like strings but no PFAM name/provenance field	data/tf_webdb.sqlite tf_family; model_summary.domain	No	Yes	Treat values as unverified chart family text	WARNING
pfam	Families -> PFAM Families (by similarity)	Family text is directly imported from old TF_family chart field; it is not verified PFAM data	import_db.py:885-895; tf.family_text; tf_family.family	No	Yes	Keep Families/TF families until sourced assignments are imported	FAIL
search	Search UniProt accession	Route searches tf.tf_id; requested P04637 is absent from active DB	app.py:1877-1885; tf	No	No	Keep accession search; load/verify P04637 data separately if it is expected	WARNING
search	Search gene symbol	Route searches tf_annotation.gene_names and has a token-aware gene summary; TP53 matches	app.py:384-416; app.py:1877-1885; tf_annotation	No	No	No change required	PASS
search	Search motif ID	Route searches motif_ref.motif_id and motif_file.motif_id; MA0106.3 matches one motif record	app.py:418-545; app.py:1877-1885; motif_ref; motif_file	No	No	No change required	PASS
search	Search source	Source dropdown/filter exists; free-text source applies to motif files, not the main TF predicate	templates/search.html:51-65; app.py:1886-1891; app.py:418-545	No	No	Retain source filter; add source to TF free-text only if desired	PASS
search	Search TF family	Route searches raw tf.family_text, not normalized tf_family; C2H2 and Homeobox match	app.py:1881; tf.family_text	No	No	No change required for legacy family text	PASS
search	Search PFAM ID/name	No verified PFAM field; PF00096 has zero matches	data/tf_webdb.sqlite; app.py:1877-1885	No	Yes	Implement only after PFAM import/provenance work	FAIL
terminology	evidence -> prediction	Public wording is widespread, while evidence_type is a stored/search parameter	app.py; templates/index.html; search.html; tf.html; motif.html; docs.html; evidence.html	Yes	No	Change display prose only after PI confirms scope; retain raw API/DB names	NEEDS_DECISION
terminology	Identical PWM -> Known	Central display map currently renders Identical PWM	app.py:41-45	Yes	No	Change EVIDENCE_LABELS identical display text and supporting docs	PASS
