accession	accession_extraction_status	af3_set_classification	in_sent_fasta	directory_name	directory_path	directory_variant	model_kind	model_rank	ranking_score	model_path	relative_model_path	model_file_size	model_sha256	input_json_paths	data_json_paths	confidence_json_path	confidence_json_found	plddt_json_found	pae_json_found	summary_confidence_json_path	ranking_metadata_paths	file_exists	readable_cif	protein_present	dna_present	protein_atom_count	dna_atom_count	atom_contacts	protein_interface_residues	dna_interface_residues	interface_result	protein_chains	dna_chains	protein_ca_plddt_mean	protein_ca_plddt_min	protein_ca_plddt_max	error	notes
A0A024R0Y4	UNAMBIGUOUS_DIRECTORY_ACCESSION	AF3_NOT_IN_SENT_FASTA	NO	a0a024r0y4	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4	base	selected	1	0.4536215501361742	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/a0a024r0y4_model.cif	a0a024r0y4/a0a024r0y4_model.cif	407129	56a99160b909307e78435e5a0bb2acc0021985514e7447dac1e1a337157540f5		/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/a0a024r0y4_data.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/a0a024r0y4_confidences.json	YES	YES	YES	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/a0a024r0y4_summary_confidences.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/ranking_scores.csv	YES	NOT_AUDITED	NOT_AUDITED	NOT_AUDITED						NOT_AUDITED_NOT_IN_SENT_FASTA							Historical/not-sent AF3 model inventoried but not interface-audited in this task.
A0A024R0Y4	UNAMBIGUOUS_DIRECTORY_ACCESSION	AF3_NOT_IN_SENT_FASTA	NO	a0a024r0y4	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4	base	sample	3	0.3807966007335904	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-0/model.cif	a0a024r0y4/seed-1_sample-0/model.cif	407129	a8f7ef28c35d73d70c53175750b955e95f67b09a9351ce5ce2469545f575e164		/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/a0a024r0y4_data.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-0/confidences.json	YES	YES	YES	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-0/summary_confidences.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/ranking_scores.csv	YES	NOT_AUDITED	NOT_AUDITED	NOT_AUDITED						NOT_AUDITED_NOT_IN_SENT_FASTA							Historical/not-sent AF3 model inventoried but not interface-audited in this task.
A0A024R0Y4	UNAMBIGUOUS_DIRECTORY_ACCESSION	AF3_NOT_IN_SENT_FASTA	NO	a0a024r0y4	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4	base	sample	5	0.30960081060910943	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-1/model.cif	a0a024r0y4/seed-1_sample-1/model.cif	407129	238a4140f4c17f2fec983c1e2936a1d93b38850fab874bd1241b3ca64fff1e92		/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/a0a024r0y4_data.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-1/confidences.json	YES	YES	YES	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-1/summary_confidences.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/ranking_scores.csv	YES	NOT_AUDITED	NOT_AUDITED	NOT_AUDITED						NOT_AUDITED_NOT_IN_SENT_FASTA							Historical/not-sent AF3 model inventoried but not interface-audited in this task.
A0A024R0Y4	UNAMBIGUOUS_DIRECTORY_ACCESSION	AF3_NOT_IN_SENT_FASTA	NO	a0a024r0y4	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4	base	sample	1	0.4536215501361742	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-2/model.cif	a0a024r0y4/seed-1_sample-2/model.cif	407129	2141e868eeb6f3fefb7748306e9036c41b8920dd149edf84a487743615472e3d		/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/a0a024r0y4_data.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-2/confidences.json	YES	YES	YES	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-2/summary_confidences.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/ranking_scores.csv	YES	NOT_AUDITED	NOT_AUDITED	NOT_AUDITED						NOT_AUDITED_NOT_IN_SENT_FASTA							Historical/not-sent AF3 model inventoried but not interface-audited in this task.
A0A024R0Y4	UNAMBIGUOUS_DIRECTORY_ACCESSION	AF3_NOT_IN_SENT_FASTA	NO	a0a024r0y4	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4	base	sample	2	0.4351606480222017	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-3/model.cif	a0a024r0y4/seed-1_sample-3/model.cif	407129	5fa8006e58b993cc7ca4795154d6a6538fceb45441178441cf3c89af4b791f96		/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/a0a024r0y4_data.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-3/confidences.json	YES	YES	YES	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-3/summary_confidences.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/ranking_scores.csv	YES	NOT_AUDITED	NOT_AUDITED	NOT_AUDITED						NOT_AUDITED_NOT_IN_SENT_FASTA							Historical/not-sent AF3 model inventoried but not interface-audited in this task.
A0A024R0Y4	UNAMBIGUOUS_DIRECTORY_ACCESSION	AF3_NOT_IN_SENT_FASTA	NO	a0a024r0y4	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4	base	sample	4	0.34679509155038435	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-4/model.cif	a0a024r0y4/seed-1_sample-4/model.cif	407129	7fd85e3cae7bd3a42e41ed5e5a2de0424a6c848d32c4fb756e6e31cd5646c380		/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/a0a024r0y4_data.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-4/confidences.json	YES	YES	YES	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/seed-1_sample-4/summary_confidences.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r0y4/ranking_scores.csv	YES	NOT_AUDITED	NOT_AUDITED	NOT_AUDITED						NOT_AUDITED_NOT_IN_SENT_FASTA							Historical/not-sent AF3 model inventoried but not interface-audited in this task.
A0A024R3C6	UNAMBIGUOUS_DIRECTORY_ACCESSION	AF3_NOT_IN_SENT_FASTA	NO	a0a024r3c6	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6	base	selected	1	0.7413004977990509	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/a0a024r3c6_model.cif	a0a024r3c6/a0a024r3c6_model.cif	539491	f11b297e39197fd987b5497132237262787a8581d82b0ad16189f0ae106a7b82		/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/a0a024r3c6_data.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/a0a024r3c6_confidences.json	YES	YES	YES	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/a0a024r3c6_summary_confidences.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/ranking_scores.csv	YES	NOT_AUDITED	NOT_AUDITED	NOT_AUDITED						NOT_AUDITED_NOT_IN_SENT_FASTA							Historical/not-sent AF3 model inventoried but not interface-audited in this task.
A0A024R3C6	UNAMBIGUOUS_DIRECTORY_ACCESSION	AF3_NOT_IN_SENT_FASTA	NO	a0a024r3c6	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6	base	sample	2	0.7307179368007131	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/seed-1_sample-0/model.cif	a0a024r3c6/seed-1_sample-0/model.cif	539491	3894fe39464c696e893e4a954f3b328db9b9274d4f29331a40589075c9c88aba		/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/a0a024r3c6_data.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/seed-1_sample-0/confidences.json	YES	YES	YES	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/seed-1_sample-0/summary_confidences.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/ranking_scores.csv	YES	NOT_AUDITED	NOT_AUDITED	NOT_AUDITED						NOT_AUDITED_NOT_IN_SENT_FASTA							Historical/not-sent AF3 model inventoried but not interface-audited in this task.
A0A024R3C6	UNAMBIGUOUS_DIRECTORY_ACCESSION	AF3_NOT_IN_SENT_FASTA	NO	a0a024r3c6	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6	base	sample	4	0.6928340061542483	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/seed-1_sample-1/model.cif	a0a024r3c6/seed-1_sample-1/model.cif	539491	477c933ef9bb1d10fa3dbad56e62024ccec86de2b89070903050a8e4e65693ac		/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/a0a024r3c6_data.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/seed-1_sample-1/confidences.json	YES	YES	YES	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/seed-1_sample-1/summary_confidences.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/ranking_scores.csv	YES	NOT_AUDITED	NOT_AUDITED	NOT_AUDITED						NOT_AUDITED_NOT_IN_SENT_FASTA							Historical/not-sent AF3 model inventoried but not interface-audited in this task.
A0A024R3C6	UNAMBIGUOUS_DIRECTORY_ACCESSION	AF3_NOT_IN_SENT_FASTA	NO	a0a024r3c6	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6	base	sample	1	0.7413004977990509	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/seed-1_sample-2/model.cif	a0a024r3c6/seed-1_sample-2/model.cif	539491	f11b297e39197fd987b5497132237262787a8581d82b0ad16189f0ae106a7b82		/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/a0a024r3c6_data.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/seed-1_sample-2/confidences.json	YES	YES	YES	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/seed-1_sample-2/summary_confidences.json	/data/sbi/interchange/boliva/patricia/AF3/a0a024r3c6/ranking_scores.csv	YES	NOT_AUDITED	NOT_AUDITED	NOT_AUDITED						NOT_AUDITED_NOT_IN_SENT_FASTA							Historical/not-sent AF3 model inventoried but not interface-audited in this task.
